번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치유형,화장실입구CCTV설치유무,기저귀교환대장소,리모델링연월,데이터기준일자
72,개방화장실,진천동행정복지센터 1층,"대구광역시 달서구 진천로9길 33 (진천동, 진천동행정복지센터)",,N,1,2,0,0,0,0,3,0,0,진천동행정복지센터,,09:00~18:00,,35.8122214,128.5228091,지방자치단체,공공용시설,수세식,,Y,없음,,2020-08-31
73,개방화장실,대구진천동우체국,대구광역시 달서구 월배로 32,,Y,0,0,0,0,0,0,0,0,0,대구진천동우체국,,09:00~18:00,,35.81237384,128.518453,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
74,개방화장실,이마트월배점 4층,"대구광역시 달서구 진천로 92 (대천동, 이마트월배점)",,N,2,4,0,0,0,0,4,0,0,월배이마트 기술운영팀,,10:00~00:00,,35.81718507,128.5236563,민간,상업시설,수세식,없음,N,없음,,2020-08-31
75,개방화장실,이마트월배점 3층,"대구광역시 달서구 진천로 92 (대천동, 이마트월배점)",,N,2,4,0,0,0,0,4,1,0,월배이마트 기술운영팀,,10:00~00:00,,35.81718507,128.5236563,민간,상업시설,수세식,없음,N,없음,,2020-08-31
76,개방화장실,이마트월배점 2층,"대구광역시 달서구 진천로 92 (대천동, 이마트월배점)",,N,2,4,0,0,0,0,5,1,0,월배이마트 기술운영팀,,10:00~00:00,,35.81718507,128.5236563,민간,상업시설,수세식,없음,N,없음,,2020-08-31
77,개방화장실,이마트월배점 1층,"대구광역시 달서구 진천로 92 (대천동, 이마트월배점)",,N,2,4,0,0,0,0,5,1,0,월배이마트 기술운영팀,,10:00~00:00,,35.81718507,128.5236563,민간,상업시설,수세식,없음,Y,없음,,2020-08-31
78,공중화장실,우광주유소,대구광역시 달서구 진천로 87 (대천동),,Y,1,2,0,0,0,0,1,0,0,달서구청 환경보호과,,09:00~18:00,,35.81621915,128.5225093,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
79,공중화장실,대천주유소,대구광역시 달서구 진천로 112 (대천동),,Y,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.8184921,128.5223491,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
80,개방화장실,송현1동행정복지센터,"대구광역시 달서구 중흥로8길 41 (송현동, 송현1동행정복지센터)",,N,3,6,0,0,0,0,6,1,0,송현1동행정복지센터,,09:00~18:00,,35.82923352,128.5547559,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
81,개방화장실,달서영어도서관,대구광역시 달서구 중흥로6길 10 (송현동),,N,4,5,0,0,0,0,8,1,0,달서구청 도서관과,,09:00~18:00,,35.83126056,128.555216,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
82,공중화장실,조암주유소,대구광역시 달서구 조암로 84 (월성동),,N,0,0,0,0,0,0,1,0,0,달서구청 환경보호과,,09:00~18:00,,35.8231412,128.520995,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
83,개방화장실,원더풀메디컬센터,대구광역시 달서구 조암남로 38 (월성동),,N,2,2,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.82193811,128.528598,민간,기타,수세식,없음,N,없음,,2020-08-31
84,개방화장실,달서가족문화도서관,"대구광역시 달서구 조암남로 137 (대천동, 달서가족문화센터)",,N,4,4,0,0,0,0,8,1,0,달서구청 도서관과,,09:00~18:00,,35.81748676,128.5191877,지방자치단체,공공용시설,수세식,여자화장실,N,여자화장실,,2020-08-31
85,개방화장실,대구지방검찰청 서부지청 1층,"대구광역시 달서구 장산남로 40 (용산동, 대구지방검찰청서부지청)",,N,3,3,0,0,0,0,3,1,0,대구지방검찰청 서부지청 총무과,,09:00~18:00,,35.85288443,128.5262829,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
86,개방화장실,대구가정법원 5층 북측,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,3,2,0,0,0,0,3,0,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
87,개방화장실,대구가정법원 4층 북측,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,4,5,0,0,0,0,4,1,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,N,여자화장실,,2020-08-31
88,개방화장실,대구가정법원 3층 북측,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,4,5,0,0,0,0,4,1,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,N,여자화장실,,2020-08-31
89,개방화장실,대구가정법원 2층 북측,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,4,5,0,0,0,0,4,1,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,N,여자화장실,,2020-08-31
90,개방화장실,대구가정법원 1층 남측,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,2,3,0,0,0,0,2,0,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,Y,없음,,2020-08-31
91,개방화장실,대구가정법원 1층 서편,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,3,3,0,0,0,0,2,0,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,Y,여자화장실,,2020-08-31
92,개방화장실,대구가정법원 1층 북측,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,4,5,0,0,0,0,4,1,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,Y,여자화장실,,2020-08-31
93,개방화장실,법조빌딩,"대구광역시 달서구 장산남로 21 (용산동, 법조빌딩)",,N,2,2,0,0,0,0,3,1,0,달서구청 환경보호과,,09:00~18:00,,35.85169853,128.5279825,민간,기타,수세식,없음,N,없음,,2020-08-31
94,공중화장실,구마종합시장,"대구광역시 달서구 장기로5길 29 (성당동, 구마시장아파트)",,N,0,2,0,0,0,0,0,0,0,달서구청 경제지원과,,09:00~18:00,,35.84123122,128.5546359,민간,상업시설,수세식,없음,N,없음,,2020-08-31
95,개방화장실,장기동행정복지센터,"대구광역시 달서구 장기로 277 (장기동, 장기동주민센터)",,N,7,6,0,0,0,0,10,1,0,장기동행정복지센터,,09:00~18:00,,35.84335012,128.5299739,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
96,개방화장실,장기동우체국,"대구광역시 달서구 장기로 273 (장기동, 장기동우체국)",,N,1,4,0,0,0,0,0,0,0,대구장기동우체국,,09:00~18:00,,35.84331734,128.5302832,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
97,공중화장실,한마음공원,대구광역시 달서구 조암남로 172-13,,N,2,2,0,0,0,0,4,0,0,달서구청 공원녹지과,,09:00~18:00,,35.8165684,128.515696,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
98,공중화장실,흐르네공원,대구광역시 달서구 월배로5길 76,,N,2,2,0,0,0,0,4,1,0,달서구청 공원녹지과,,09:00~18:00,,35.81936758,128.513824,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
99,공중화장실,선돌공원,대구광역시 달서구 조암로20길 50,,N,3,3,0,0,0,0,4,1,0,달서구청 공원녹지과,,09:00~18:00,,35.82370034,128.5181111,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
100,개방화장실,성서 롯데시네마,"대구광역시 달서구 성서로 414 (이곡동, 성서롯데시네마)",,N,2,2,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~20:00,,35.85443019,128.5077779,민간,기타,수세식,없음,N,없음,,2020-08-31
101,개방화장실,대구성서우체국,"대구광역시 달서구 성서로 406 (이곡동, 대구성서우체국)",,N,1,15,0,0,0,0,0,0,0,대구성서우체국,,09:00~18:00,,35.853764,128.5077255,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
102,개방화장실,하나은행 건물,대구광역시 달서구 성서로 399 (이곡동),,N,2,2,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.8531883,128.5067803,민간,기타,수세식,없음,N,없음,,2020-08-31
